mention_id,song_id,brand_id,brand_alias,context,char_start,char_end,sentiment,detection_method,mention_count,context_len,gold_label,sent_pos,sent_neg
22,392,3,gucci,shes a very freaky girl very freaky girl gucci i want a very freaky girl shes a very freaky girl dont bring her to mama first you get her name then you get her number then you get some brain in the front seat of the hummer then you get some brain in the front seat of the hummer shes a very freaky girl dont bring her to mama first you get her name then you get her number then you get some brain in the front seat of the hummer then you get some brain in the front seat of the hummer uh let me set the record,76,81,negative,nlp_regex_ner,1,509,1,0,1
23,407,3,gucci,all 3 rappers on this track are famous for having flamboyant outrageous style they collaborate to talk about how hard they are oh oh gucci bangladesh gucci brr brr brr,133,138,positive,nlp_regex_ner,2,167,2,1,0
24,407,3,gucci,and i know the truth but thats tween you and i stupid jewelry on me then stupid jewelry on me now if you think you finna shit on gucci then just show me how someone dissed me yesterday what im posed to do go cry put my money chasin million dollar mission on the side churchs chicken in my lambo bought two drumsticks and a thigh,363,368,negative,nlp_regex_ner,2,328,1,0,1
25,409,3,gucci,intro usher polow da don gucci mane it feels so good to be back polow usher baby,25,30,positive,nlp_regex_ner,1,80,2,1,0
26,409,3,gucci,how you doing gucci cause the spotlight aint nothing without you girl and the dance floor aint nothing without you girl you a show stopper,111,116,positive,nlp_regex_ner,1,138,2,1,0
27,409,3,gucci,whoa yeah rose by 50 uh now she tipsy slow dancing in my mansion with no panties want to get me three girls gucci trippin thats a lot of women expensive denim jeans on designer heels you feel me,516,521,positive,nlp_regex_ner,1,194,2,1,0
28,421,3,gucci,smallface bigface hundreds not a ball player but got baseball money grand slam home run gucci mane coming drumma boy on the track too much money never too much never too much money g4 gucci mane traveling crosscountry never too much never too much ice,528,533,positive,nlp_regex_ner,2,251,2,1,0
29,443,3,gucci,homie just texted me say my nigga flexed him dummy brickfrowny face rabbit foodfrowny face say he wanna face me tell em come and skraighten me skfrowny face akfrowny face some niggas tried to wet me up shot up my truck in east atlanta want to set me up bbecause i tricked this nigga in savannah they put some money on my head i had to move to alabama started poppin with my cousin mixing caine with arm hammer somebody blooded my face badly my last visit to the slammer but they put me in that hole because i beat him like a hammer the shooter shot my nigga juice a couple times over by gresham wish i was there just to help him he pushed on so i respect him before the fortune and the fame deep in the game me and my gang behind my rights to getting my record they tried to murk me for my chain two tear drops under my eye because i wish some days i could cry but to lose my selfrespect my nigga i would rather die gucci,916,921,negative,nlp_regex_ner,1,921,1,0,1
30,445,3,gucci,intro gucci mane lil will gucci mane la flare,6,11,positive,nlp_regex_ner,2,45,2,1,0
31,445,3,gucci,im with the gucci mane,843,848,positive,nlp_regex_ner,1,22,1,1,0
32,446,2,louis,i kicks off cant rip this off tag on your mattress fool youd rather be high this that shit bitch now you in the presence of the fly louis cover my eyes not them hundred dollar raybans fam these 675 rap ass niggas tellin you lies runnin game some things money just cant disguise thats why keepin it,567,572,negative,nlp_regex_ner,1,297,1,0,1
33,456,3,gucci,see i couldve retired a long time ago i mean its not like i need the money or the credentials but gucci said it could only be one director for this movie like for an example if you think about them other djs how many classics theirs can you name now try to name one my classics you feel me dj drama fuck these niggas up chorus gucci mane with jason caesar bend your back flip your shoulders drop your head bust it open if you love it like you say you love it baby girl show me gangsta show me somethin show me somethin show me somethin show me somethin show me somethin show me somethin show me somethin show me somethin gangsta grillz,98,103,negative,nlp_regex_ner,3,635,1,0,1
34,479,30,supreme,i reign supreme in this honkey shit no sense screaming and arguing makes no difference whether a benz or a bentley or a beamers the car you in you think you ball well i palm it,1588,1595,negative,nlp_regex_ner,1,176,1,0,1
35,522,59,maybach,i deserve to do these numbers the kid that made that deserves that maybach so many records in my basement im just waitin on my spaceship blaow,1230,1237,negative,nlp_regex_ner,1,142,1,0,1
36,523,57,yeezy,she in the mirror dancin so sleazy i get a call like where are you yeezy and try to hit you with the olwuwopte,487,492,negative,nlp_regex_ner,1,110,1,0,1
37,525,5,christian dior,and you dont give a fuck what they all say right awesome the christian in christian dior,594,608,positive,nlp_regex_ner,1,88,2,1,0
38,540,12,polo,and i never look back and you dont wanna try man dont i look strapped i come from the hardest city aint nobody fuckin with it got a blackandgold soul with a fresh new orleans fitted and a collar polo and a pair of bally bucks young money motherfucker know you worried bout,856,860,negative,nlp_regex_ner,1,272,1,0,1
39,554,10,versace,hey its me versace whoops somebody shot me and i was just checkin the mail get it checkin the male how many records you expectin to sell after your second lp sends you directly to jail come on relax guy,800,807,negative,nlp_regex_ner,1,202,1,0,1
40,604,2,louis,swimming in polo sleeping in jordans i bought her cell phone and i dont even much call it new imports make her feel important no bullshit nigga no ben gordon get her information take her on vacation give her dope dick now she under the sedation wake her in the morning breakfast where she slept at tell her go shopping i cant wait til she get back louis flipflops and a pair of pink sweatpants she wear that on my jet i fuck her after jet lag i take her to the vet cause she a bad bitch you cant be broke and happy so meim mad rich,984,989,negative,nlp_regex_ner,1,531,1,0,1
41,604,12,polo,swimming in polo sleeping in jordans i bought her cell phone and i dont even much call it new imports make her feel important no bullshit nigga no ben gordon get her information take her on vacation give her dope dick now she under the sedation wake her in the morning breakfast where she slept at tell her go shopping i cant wait til she get back louis flipflops and a pair of pink sweatpants she wear that on my jet i fuck her after jet lag i take her to the vet cause she a bad bitch you cant be broke and happy so meim mad rich,648,652,negative,nlp_regex_ner,1,531,1,0,1
42,604,13,fendi,follow lil wayne on a whimsically romantic shopping holiday tracked to a spedup version of the last minute of fancy by thedream see also throw it in the bag by fabolous chorus thedream lil wayne she all on me cause all i do is ride around in bentley coups got no needs she got me buying her them fendi shoes all we do is shop until we drop allallallallall all we do is shop until we drop right there in the floor she all on me cause all i do is ride around in bentley coups got no needs she got me buying her them fendi shoes all we do is shop until we drop allallallallall all we do is shop until we drop right there in the floor,296,301,negative,nlp_regex_ner,2,630,1,0,1
43,683,36,guess,royce guess you made it nigga allwhite neighborhood,870,875,negative,nlp_regex_ner,1,51,1,0,1
44,684,2,louis,j see me at the airport at least twenty louis treat me like the prince and this my sweet brother numpsay groupies say im too choosy take em to the show and talk all through the movies say she want diamonds i took her to ruby tuesdays if we up in fridays i still have it my way gone hook 1 kanye west and camron gone we striving home gone,233,238,negative,nlp_regex_ner,1,337,1,0,1
45,684,3,gucci,i ride on chrome yall dont want no prob from me what you rappers could get is a job from me maybe you could be my intern and in turn ill show you how i cook up summer in the winter aaron love the raw dog when will he learn caught something on the usher tour he had to let it burn plus he already got three chilrn arguin over babysitters like bitch its your turn damn ye itd be stupid to diss you even your superficial raps is superofficial rrrroc pastelle with gucci on with tvs in the ride throw a movie on said he couldnt rap now he at the top where dude belong cause i dookied on any song that they threw me on gone,992,997,negative,nlp_regex_ner,1,618,1,0,1
46,717,59,maybach,your dude is back the maybach coupe is back tell the whole world the truth is back you aint gotta argue about who can rap cause the proof is back just go through my raps,225,232,negative,nlp_regex_ner,1,169,1,0,1
47,719,59,maybach,heh what is this i like this maybach music hahahaha come and take a ride come and take a come and take a ride billionaire yayo,29,36,positive,nlp_regex_ner,5,126,2,1,0
48,720,2,louis,justice league hey realest shit i ever wrote chillin in my maybach whatever i send out homie ima make back ayy can you believe it you gotta see it cause i dont plan on goin broke put that on my maybach cause im in it to win now niggas cant take that listen to my maybach music to my maybach music martin louis the king jr startin all that stuntin is gon ruin you if bi was alive hed probably have the twotone with the grey poupon anything ye poop on will explode cause i am the shit and this is my commode uhoh there they go talking bout how your boy clothes extra tight i just remembered that my limelight extra bright i hit the strip club and girls get extra hype you hit the strip club and girls turn extra dyke we know who not getting no sex tonight and a lap danced probably be a blessin,304,309,negative,nlp_regex_ner,1,792,1,0,1
49,720,59,maybach,justice league hey realest shit i ever wrote chillin in my maybach whatever i send out homie ima make back ayy can you believe it you gotta see it cause i dont plan on goin broke put that on my maybach cause im in it to win now niggas cant take that listen to my maybach music to my maybach music martin louis the king jr startin all that stuntin is gon ruin you if bi was alive hed probably have the twotone with the grey poupon anything ye poop on will explode cause i am the shit and this is my commode uhoh there they go talking bout how your boy clothes extra tight i just remembered that my limelight extra bright i hit the strip club and girls get extra hype you hit the strip club and girls turn extra dyke we know who not getting no sex tonight and a lap danced probably be a blessin,59,66,negative,nlp_regex_ner,4,792,1,0,1
50,720,59,maybach,right so all the shit you talking dead coffin like the weed coughing new crib loft in where its at austin where is that texas whats in front benzes what else lexus well whos maybach is this mr wests,967,974,negative,nlp_regex_ner,1,198,1,0,1
51,721,3,gucci,heavy is the 3rd track on guccis 6th studio album the state vs radric davis the song is infamous for its extremely repetitive hook and was produced by shawty redd gucci whats up corey back in the trap heavy real heavy,163,168,negative,nlp_regex_ner,1,217,1,0,1
52,721,3,gucci,its so heavy heavy real heavy gucci gucci heavy real heavy it feels heavy somebody help me my neck hurt my chain heavy heavy dough heavy flow heavy gucci bag full of cash its so heavy,248,253,negative,nlp_regex_ner,3,183,1,0,1
53,723,3,gucci,intro gucci mane keyshia cole whats happenin its gucci hey keyshia you feelin this girl man,6,11,positive,nlp_regex_ner,2,91,2,1,0
54,723,3,gucci,you know what im saying fatboi fatboi take one take one gucci ohh,167,172,negative,nlp_regex_ner,1,65,1,0,1
55,723,3,gucci,whoa whoa for real aye action action oh gucci rap game paid me trap game made me we used to be good friends now she cant stand me her man aint g,266,271,positive,nlp_regex_ner,1,144,2,1,0
56,723,3,gucci,dawg i can help her bless her show her how to be successful kiss her gucci hustler a finesser sudden valley cook up second of the extra stack up loud pack make her catch a contact dumb sets long stacks i can make her come back,689,694,negative,nlp_regex_ner,1,226,1,0,1
57,724,3,gucci,so how the hell you chop or flip you water bluffing water whimp theres no limit to gucci money just ask silkk the shock them burglar bars around the door my country boys they want some more early in the morning later in the evening im all about that money man even when im sleeping im all about that money dont make me send my goons to gunning im all about that money dont make me send my goons to gunning,653,658,negative,nlp_regex_ner,1,405,1,0,1
58,726,3,gucci,im jumping out my coupe with the missing roof and im so fucking high i need a parachute gucci mane do you remember me from last month girl i cant remember nothing but my last blunt bling blau diamond necklaces for every chain bitch im gucci,88,93,negative,nlp_regex_ner,11,240,1,0,1
59,727,3,gucci,everybody know marijuana is my fragrance probably smell it on my clothes i smoke that bubonic sonic ive been sipping gin and tonic you lil boys is hooked on phonics gucci hooked on chronic sonny,1450,1455,negative,nlp_regex_ner,1,194,1,0,1
60,759,59,maybach,so i gotta murder them first emergency doctors performing procedures jesus i aint trying to be facetious but vengeance is mine sayeth the lord you said it better than all leave niggas on deaths door breathing on respirators for killing my best boy haters on permanent hiatus as i skate in the maybach benz flyer than sanaa lathan pumping brown sugar by dangelo in los angeles like an evangelist i can introduce you to your maker bring you closer to nature ashes after they cremate you bastards hope you been reading your psalms and chapters paying your tithe being good catholics im coming,565,572,positive,nlp_regex_ner,1,589,2,1,0
61,768,3,gucci,but i need 4 more i got uncles blowing bundles mine do numbers while i drive lambo offwhite yayo digital scale fishscale sending my pigeons by mail bring in my drain folks i just bring me that caine folks gucci got good dope pills purp and sizzurp my workers dont move nothing less than a bizzurd gucci got good dope pills purp and sizzurp my workers dont move nothing less than a bizzurd bricks cant keep em 16 fever beemerspeakers geekameters misdemeanors several subpeonas see im gonna drink up cause we just linked up the squad been teamed up we cutting off fingers its 16 fever and thats since april my corvette paid for my oldschool paid for the hummer roll up that means you assed out and you didnt cash out see this my traphouse,419,424,negative,nlp_regex_ner,2,736,1,0,1
62,811,36,guess,intro obie trice eminem obie trice real name no gimmicks ra two trailerpark girls go round the outside round the outside round the outside two trailerpark girls go round the outside round the outside round the outside woo guess whos back back again shadys back tell a friend guess whos back guess whos back guess whos back guess whos back guess whos back guess whos back guess whos back ive created a monster cause nobody wants to see marshall no more they want shady,291,296,negative,nlp_regex_ner,6,467,1,0,1
63,815,26,coach,im so catriona smarter than a lot of these niggas swear the coach just brought the starter in,242,247,positive,nlp_regex_ner,1,93,2,1,0
64,848,2,louis v,right i had a dream i could buy my way to heaven when i awoke i spent that on a necklace i told god id be back in a second man its so hard not to act reckless to whom much is given much is tested get arrested guess until he get the message i feel the pressure under more scrutiny and what i do act more stupidly bought more jewelry more louis v my mama couldnt get through to me the drama people suing me im on tv talking like its just you and me im just saying how i feel man i aint one of the cosbys i aint go to hillman,400,407,negative,nlp_regex_ner,1,522,1,0,1
65,848,36,guess,right i had a dream i could buy my way to heaven when i awoke i spent that on a necklace i told god id be back in a second man its so hard not to act reckless to whom much is given much is tested get arrested guess until he get the message i feel the pressure under more scrutiny and what i do act more stupidly bought more jewelry more louis v my mama couldnt get through to me the drama people suing me im on tv talking like its just you and me im just saying how i feel man i aint one of the cosbys i aint go to hillman,272,277,negative,nlp_regex_ner,2,522,1,0,1
66,912,21,nike,g im a ceo which means that i profit off of me all white tees still rockin my nike airs fresh out of flight school cause im fly right here aint nothin free im chargin to breathe air if its not on maybach really who the hell cares my money long my nigga,808,812,negative,nlp_regex_ner,1,252,1,0,1
67,912,59,maybach,justice league its the boss it gets no better than this maybach music swimmin in women champagne sippin gold emblem with two ms in it this pimpin is so magnificent stop dreamin it,56,63,positive,nlp_regex_ner,1,179,2,1,0
68,912,59,maybach,g im a ceo which means that i profit off of me all white tees still rockin my nike airs fresh out of flight school cause im fly right here aint nothin free im chargin to breathe air if its not on maybach really who the hell cares my money long my nigga,926,933,negative,nlp_regex_ner,1,252,1,0,1
69,934,59,maybach,you know this young never lying truthteller that rihanna reign just wont let up allblack on blackedout shades shades blackedout maybach ima rock this shit like fashion as in going til they say stop hold up and my runway never looked so clear but the hottest bitch in heels right here here no fear and while youre getting your cry on im getting my fly on sincere,531,538,positive,nlp_regex_ner,1,361,2,1,0
70,971,48,balmain,and i do the realest in my age group no shit soho cosmo balmain blow fish lets make a toast tell your friends come closer drinks on me like a coaster we doing it big look at what i done look at where im is its only just begun cause i was staying home when they was having fun so please dont be surprised when they announce that i won,561,568,negative,nlp_regex_ner,1,333,1,0,1
71,989,62,timbs,i just know it so well cant help but brag gold mouth got 10 mel man got 3 its just your luck the rap game got me hold up here we go again just spent a hundred of that brown paper bag money all on timbs and the bad bitches all on him cause the cars that he drives are all foreign the game is mine,752,757,negative,nlp_regex_ner,1,295,1,0,1
72,1074,59,maybach,and im a maybach rider havent drove it one time i got a cool black driver cant walk around with guns i got a dude that got em dont worry if im shootin as long as you dont get shot arms and im a beast,1165,1172,positive,nlp_regex_ner,1,199,2,1,0
73,1077,36,guess,i guess a modernday jack the ripper is all that i am cause when the lights are off,712,717,negative,nlp_regex_ner,1,82,1,0,1
74,1086,26,coach,i heard a bunch of cheerin fans swarmin grabbed that bitch by her hair drug her across the ground and took her up to the highest divin board and tossed her down sorry coach its too late to tell me stop while i drop this bitch face down and watch her bellyflop,1516,1521,negative,nlp_regex_ner,1,259,1,0,1
75,1110,26,coach,and im the coach like avery leave it to the flow we getting dough like the bakery i dont really want to but these niggas making me put a motherfucker on ice like the maple leaves thats a hockey team,2042,2047,negative,nlp_regex_ner,1,198,1,0,1
76,1113,24,rollie,snoop snoop when the pimps in the crib ma when the pigs try to get at you and if a nigga get a attitude i got the rollie on my arm and im pourin chandon and i roll the best weed cause i got it goin on im a nice dude with some nice dreams see these ice cubes see these ice creams eligible bachelor million dollar boat thats whiter than whats spillin down your throat the phantom exterior like fish eggs the interior like suicidewrist red i can exercise you this can be your phys ed cheat on your man ma thats how you get ahizzead killer with the beat,114,120,negative,nlp_regex_ner,1,549,1,0,1
77,1114,2,louis,hot shit mmmm im goin down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now im goin down down baby your street in a range rover street sweeper baby cocked ready to let it go shimmy shimmy cocoa what listen to it pound light it up and take a puff pass it to me now mmmm you can find me in st louis rollin on dubs smokin on dubs in clubs blowin up like cocoa puffs sippin bud gettin perved and gettin dubbed daps and hugs mean mugs and shoulder shrugs and its all because accumulated enough scratch just to navigate it wood decorated on chrome and its candy painted fans faintin while im entertainin wild aint it how me and money get acquainted plus i hang with hannibal lecter so feel me when i bring it sing it loud,417,422,negative,nlp_regex_ner,1,841,1,0,1
78,1149,57,yeezy,i had to act sane chi nigga but these hoes love my accent chick came up to me and said this the number to dial if you wanna make your number one your number two now mix that goose and malibu i call it malibooyah goddamn yeezy always hit em with a new style know that motherfucker well what you gon do now whatever i wanna do gosh its cool now know,1329,1334,positive,nlp_regex_ner,1,347,2,1,0
79,1242,3,gucci,i need everybody to report to the dance floor right now the world is very different now you know why its gucci time big gucci trap boys call me brick gucci dime piece time piece got my swiss moving swiss cheese out a hater if he act foolish swizz beats gucci mane call it trap music i think i need an espy these rappers best respect me they try to ron artest me they gonna have to arrest me with a doubt i bring em out the kid is all she think about she cheated with la flare but its nothing to spill a drink about do you know what time it is gucci time 15 past the diamond bitch im hood rich wealthy and all that there whyd i order 40 more bottles i have no idea its gucci time cut the lights on cut these fucking lights on all this ice on no need to cut the lights on its gucci time cut the lights on cut these fucking lights on all this ice on no need to cut the lights on its gucci time cut the lights on cut these fucking lights on all this ice on no need to cut the lights on its gucci time cut the lights on cut these fucking lights on all this ice on no need to cut the lights on its gucci time,105,110,negative,nlp_regex_ner,10,1102,1,0,1
80,1249,2,louis vuitton,dawg are you fucking kidding my hat my shoes my coat louis vuitton stitch with donatella versace thats louis vuitton bitch,455,468,negative,nlp_regex_ner,2,122,1,0,1
81,1249,10,versace,dawg are you fucking kidding my hat my shoes my coat louis vuitton stitch with donatella versace thats louis vuitton bitch,491,498,negative,nlp_regex_ner,1,122,1,0,1
82,1249,57,yeezy,oh yeah yeezy,1191,1196,positive,nlp_regex_ner,1,13,1,1,0
83,1267,2,louis vuitton,but she aint messin with no broke niggas get down girl go head get down get down girl go head get down get down girl go head get down get down girl go head cutie the bomb met her at a beauty salon with a baby louis vuitton under her underarm,472,485,negative,nlp_regex_ner,1,241,1,0,1
84,1269,2,louis,yeah hammer in the louis duff take a nigga bitch she gave me brains until i knew enough bullet come too fast to adjust i dont give a fuck about my roof that much,1099,1104,negative,nlp_regex_ner,1,161,1,0,1
85,1281,2,louis,no matter how they shuffle skirts with the ruffle louis on the duffle im a bad bitch,1794,1799,negative,nlp_regex_ner,1,84,1,0,1
86,1334,3,gucci,but it just in time its gucci,1046,1051,positive,nlp_regex_ner,1,29,1,1,0
87,1335,15,burberry,oprah son uhh i show you how to do this son young dont mess with chicks in burberry patterns fake manolo boots straight from steve madden he patterns hisself the rap jfk you wanna pass for my jacqueline onassis then hop ya ass out that sclass lay back in the maybach roll the best grass i ask have you in your longlegged life ever seen a watch surrounded by this much pink ice look but dont touch motherfucker think twice cause the gat that i clutch got a little red light need a light,722,730,negative,nlp_regex_ner,1,485,1,0,1
88,1335,59,maybach,oprah son uhh i show you how to do this son young dont mess with chicks in burberry patterns fake manolo boots straight from steve madden he patterns hisself the rap jfk you wanna pass for my jacqueline onassis then hop ya ass out that sclass lay back in the maybach roll the best grass i ask have you in your longlegged life ever seen a watch surrounded by this much pink ice look but dont touch motherfucker think twice cause the gat that i clutch got a little red light need a light,906,913,negative,nlp_regex_ner,1,485,1,0,1
89,1337,59,maybach,justice league my garage is flawless under a hundred thou aint allowed maybach triple white like im ridin in a cloud no denim on my seats baby you gon need a towel ride sexy through the city see me you will be aroused my bankroll so wellendowed pull bitches from mia to atl in style and in crowds catch me in tao on the strip in vegas chillin fillin bitches faces with babies bitch bite your tongue this just aint a mercedes tell the atf im ridin with another threeeighty thats my car costyall thought i would fall off that was just a small loss we can have a balloff fly to ny meet me at the waldorf astorian architecture victorian ridin in the past like youre drivin a delorean hard times never heard of those in the bach my feet kicked up gettin my dick sucked with the curtains closed and for the record kid my final question is how your bitch gon feel in that when you two pull up next to this hahahaha maybach music nigga,71,78,negative,nlp_regex_ner,2,927,1,0,1
90,1341,59,maybach,and you know what im sittin on 5050 venture with them s dots kickin off armadale poppin now only bring a nigga more only thing missin is a missus you aint even gotta do the dishes got two dishwashers got one chef one maid all i need is a partner to play spades with the cards up all trust who else you gon run with the truth is us only dudes movin units em pimp juice and us its the roc in here maybach outside got rocks in ears pjs on the runway young got air,1186,1193,negative,nlp_regex_ner,1,460,1,0,1
91,1353,4,prada,i mean goddamn one time let it be a bad bitch sweeping that know we get os like cheerios that know because they seen us in the videos that know the day that you play me would be the same day mtv play videos that was a little joke voila praises due to the most high allah praises due to the most fly prada baby,999,1004,negative,nlp_regex_ner,1,309,1,0,1
92,1410,1,chanel,huh im in my christian dior with a veronica webb noemie lenoir chanel sessilee lopez arlenis sosa selita ebanks grew up on mobb deep and speak that jourdan dunn language make a phone call out to joan smalls,417,423,negative,nlp_regex_ner,1,206,1,0,1
93,1410,5,christian dior,huh im in my christian dior with a veronica webb noemie lenoir chanel sessilee lopez arlenis sosa selita ebanks grew up on mobb deep and speak that jourdan dunn language make a phone call out to joan smalls,367,381,negative,nlp_regex_ner,1,206,1,0,1
94,1420,50,fossil,so i rock like a fossil big boss shit paul castellano shoot your ass up now crawl out the condo thats that nine nigga ughh rondo sleeping with the enemy,192,198,negative,nlp_regex_ner,1,152,1,0,1
95,1453,42,omega,school spirit alpha step omega step kappa step sigma step gangstas walk pimps gon talk,25,30,negative,nlp_regex_ner,1,86,1,0,1
96,1473,3,gucci,yeah hey gucci always talkin bout he love somebody he dont love nobody matter fact nigga you owe me some money dont you let me show you how i do this shit yellow benz with a spoiler kit with my spoiled lil chick yellow diamonds on my neck and wrist match this yellow bitch she a trip shawty she the shit,9,14,negative,nlp_regex_ner,1,303,1,0,1
97,1473,3,gucci,and she act silly like a kid give her candy stick she a pit make her flip a brick make her sick a chick since a jit ive been slangin dick gucci mane the shit i met a girl name,571,576,negative,nlp_regex_ner,1,175,1,0,1
