mention_id,song_id,brand_id,brand_alias,context,char_start,char_end,sentiment,detection_method
22,7995415,6,birkin,off the chanel take off the dolce take off the birkin bag take all that designer bullshit off and what do,898,904,,regex
23,205897,59,maybach,bus travelling k dot that boy got the crazy flow maybach the 1964 with my brim kind of tilted low so,684,691,,regex
24,619857,60,reebok,kendrick lamar and reebok join forces with acclaimed director anthony mandler to take you,19,25,,regex
25,619857,30,supreme,my momma came into compton to accomplish one thing reign supreme raise a king named kendrick i aint lying it stand,1458,1465,,regex
26,619857,3,gucci,that boy good im bright as thomas edison but im gucci mane in the hood i stood alone for so long,2200,2205,,regex
27,2834549,60,reebok,respect the classic is a freestyle for a reebok commercial released on august 8th 2016 pimppimp hooray pimppimp hooray,41,47,,regex
28,2834549,60,reebok,respect the classic is a freestyle for a reebok commercial released on august 8th 2016 pimppimp hooray pimppimp hooray,758,764,,regex
29,2834549,60,reebok,respect the classic is a freestyle for a reebok commercial released on august 8th 2016 pimppimp hooray pimppimp hooray,960,966,,regex
30,719810,36,guess,if i ever slack on my shit so i fail guess what i dont even trip just like that crush your,823,828,,regex
31,692108,36,guess,like it had arms then i bear it so i guess it really does no paperwork on this marriage he love,639,644,,regex
32,8852243,36,guess,brothers one sister all come beneath me first born and guess what they all wanna see me blow up like the,709,714,,regex
33,6221,36,guess,the gutter lane like im master splinter how splendid i guess my project had did it got all these niggas approaching,3641,3646,,regex
34,6221,36,guess,the gutter lane like im master splinter how splendid i guess my project had did it got all these niggas approaching,4246,4251,,regex
35,93763,26,coach,hearse now punch is my mentor top dawg is the coach jay rock is my older brother i was there when,1460,1465,,regex
36,95197,5,dior,everywhere i got three whores with me it smells like dior and derrire decoys die slow you can detour to heavens,844,848,,regex
37,69982,36,guess,big money for the enterprise its a beautiful day i guess for a bitch to roll with andre i guess roll,776,781,,regex
38,69982,36,guess,big money for the enterprise its a beautiful day i guess for a bitch to roll with andre i guess roll,815,820,,regex
39,11146168,42,omega,what they like what he on its the alpha and omega bitch welcome home this is not a song this a,476,481,,regex
40,50149,36,guess,so i tell the swap meet to clone em i guess i really am a vanity slave i guess my ancestors,308,313,,regex
41,50149,36,guess,so i tell the swap meet to clone em i guess i really am a vanity slave i guess my ancestors,343,348,,regex
42,50149,13,fendi,same modern world thats ya girl i see she rocking fendi try this on if it aint upscale then you may,743,748,,regex
43,50149,3,gucci,and i wore ice thats ironic huh chorus kendrick lamar gucci mane word around town that im all about the bitches,1023,1028,,regex
44,53765,3,gucci,shoe selection gotta be louie her hand bag gotta be gucci its fake then she fool me she still bad though,2260,2265,,regex
45,53765,3,gucci,shoe selection gotta be louie her hand bag gotta be gucci its fake then she fool me she still bad though,2326,2331,,regex
46,62932,3,gucci,turned to bowl cut ima close cut to common and gucci mane now thats a comparison that you probably wouldnt understand,693,698,,regex
47,74883,36,guess,i got to lose what i got to prove i guess war is my love make sure your next move is,858,863,,regex
48,659947,36,guess,i ever slack on my shit so if i fall guess what i dont even trip its like that crushin little,915,920,,regex
49,101303,36,guess,like it had arms then i bear it so i guess it really does no paper work on this marriage but,904,909,,regex
50,5504737,21,nike,up they get me loose yeah jump out boys thats nike boys hoppin out coupes way too big when we pull,492,496,,regex
51,2399225,26,coach,scholar aw ateam know you ready my right hand steady coach you if you let me aw ateam got that a1,322,327,,regex
52,2849762,10,versace,a liter throw some jolly rancher in make it sweeter versace my clothes im with a white ho and she snortin,88,95,,regex
53,2849762,23,adidas,with a white ho and she snortin three lines like adidas got a black girl rollin off molly got a white,159,165,,regex
54,102626,9,balenciaga,heinous language plutonica insomnia put that money on your head balenciaga yarmulke fifteen when i carried loads of them oziums and,638,648,,regex
55,5604775,21,air max,air is moving slower the faster my feet move my air max 270s keep me grounded to this hypothetical floor im hovering,410,417,,regex
56,9940487,26,coach,together the jet like an airline we used to rock coach in the back of frontier used to ride metro down,1268,1273,,regex
57,6943346,6,birkin,draining just hav it if you singing okay fuck that birkin she just need some encouragment fix that attitude she think,495,501,,regex
58,11416397,8,cartier,know folarin the genius scott the genius mm look yeah cartier what your wrist doin in the ace with my nigga,79,86,,regex
59,12113919,23,three stripes,get my life i had to get that check before three stripes behind these walls done made phone calls that do more,242,255,,regex
60,12113919,1,chanel,got the cash and reinvested in my dreams a new chanel bag i gave her chanel swag twotone birkin that shit,434,440,,regex
61,12113919,1,chanel,got the cash and reinvested in my dreams a new chanel bag i gave her chanel swag twotone birkin that shit,456,462,,regex
62,12113919,6,birkin,a new chanel bag i gave her chanel swag twotone birkin that shit smirkin it end up workin when its time,476,482,,regex
63,148152,36,guess,showers praise the lord blaze to peace oh yes lord guess what i aint eat today or pay my rent today,189,194,,regex
64,148152,36,guess,showers praise the lord blaze to peace oh yes lord guess what i aint eat today or pay my rent today,676,681,,regex
65,691607,2,louis vuitton,this music with a passion ah yeahyeahyeah maison margiela blunts louis vuitton double cups designer drugs you get seamed up if it,479,492,,regex
66,10821004,6,birkin,for the nck piece hundredthousand for the jet ski the birkin bag make her sexy dunk a bitch lisa leslie fashion,690,696,,regex
67,2290792,1,chanel,love i can tell now she pop em up blue chanel just to get it up parking lot full of foreign,840,846,,regex
68,7272582,30,supreme,you gotta shoot em at least you know my dodge supreme i put in hours this week movin at rapid speed,558,565,,regex
69,153747,14,bottega,em the ropes scottie the pope now only giuseppe celine bottega proenza the schouler is all that she know might let,361,368,,regex
70,2490173,24,rolex,nigga tryna say shit big dog conversation big ice revelation rolex rollin on my piece i been going fine all week,676,681,,regex
71,9368452,14,bottega,a walk with a new suit armor new suit dead bottega thats on it give me the heat from the sleep,576,583,,regex
72,128335,36,guess,rockstars sex pistol posers they never heard of us i guess i need that white broad in that white car so,123,128,,regex
73,3876994,21,nike,up they get me loose yeah jump out boys thats nike boys hoppin out coupes this shit way too big when,472,476,,regex
74,9368456,1,chanel,me run off with my swag from sellin coco got chanel on my jacket shawty give me mop with the less,301,307,,regex
75,3876997,36,guess,i never looked lookin back how things came back around guess i was hooked burn the bread and then we burn,447,452,,regex
76,3676117,11,patek philippe,level rockin that ricky and raf here my sweater yeah patek philippe it cloudy like heaven met her at 10 fucked that,750,764,,regex
77,128373,10,versace,i c a swag wake me up in the mornin versace out with this gold on we roll around in them,110,117,,regex
78,3876940,7,yves saint laurent,get rest cash through the month i get a check yves saint laurent on my pants and my chest chanel her dress clean,127,145,,regex
79,3876940,1,chanel,check yves saint laurent on my pants and my chest chanel her dress clean up her mess i eat her flesh,171,177,,regex
80,3876940,24,rolex,you know the rest count up a hun cop a rolex shine like the sun you truly blessed twotone patek mmmmmmmmm,261,266,,regex
81,3876940,11,patek,a rolex shine like the sun you truly blessed twotone patek mmmmmmmmm in the clearport like i uber these jets vvss,312,317,,regex
82,3876940,3,gucci,like i uber these jets vvss on me got my gucci shirt wet put an m in my bag mmm gon,386,391,,regex
83,3876940,7,saint laurent,rest cash through the month i get a check yves saint laurent on my pants and my chest chanel her dress clean,753,766,,regex
84,3878050,4,prada,me ap i dont do apologies high tune on my prada tee purchase on my new amiri jeans young gunna drip,941,946,,regex
85,51492,36,guess,expect me to care you dont deserve my tears i guess thats why they aint there,792,797,,regex
86,2339027,36,guess,i met this girl named nicki i guess you could say she was the rap queen i met,30,35,,regex
87,32193,6,birkin,hihat and the snare i used to bag girls like birkin bags now i bag b boy you hurtin that brooklyn,225,231,,regex
88,2419257,43,givenchy,my cocky fresh im so reckless when i rock my givenchy dress im so possessive so i rock his roc necklaces,180,188,,regex
89,2419257,43,givenchy,my cocky fresh im so reckless when i rock my givenchy dress im so possessive so i rock his roc necklaces,839,847,,regex
90,187911,36,guess,i guess love just wasnt enough for us to survive i swear,2,7,,regex
91,8225354,1,chanel,i gotta cool it down heated yeah yeah like stolen chanel put me up in jail its been a lot of,163,169,,regex
92,4240985,36,guess,to smack that trick smack that trick smack that trick guess what they did smacked that trick gold everything gold ass,413,418,,regex
93,1193649,36,guess,baby if you let him take me from you i guess i finally see if you let him take me from,274,279,,regex
94,9776011,28,tiffany,out this pain call lorraine schwartz then take me to tiffany i want fortyfour karats on my fangs bling ah i,452,459,,regex
95,1526802,28,tiffany,where you been with my man you know you a tiffany diamond but you let him treat you like this thats,297,304,,regex
96,152214,36,guess,no shoulder but everybody wants to lean on me i guess im their soldier well whos gonna be mine whos there,164,169,,regex
97,152214,36,guess,no shoulder but everybody wants to lean on me i guess im their soldier well whos gonna be mine whos there,437,442,,regex
98,1712160,36,guess,did me wrong i always stayed by your side i guess i was your fool i always cared theres no one,104,109,,regex
99,1712160,36,guess,did me wrong i always stayed by your side i guess i was your fool i always cared theres no one,261,266,,regex
100,4387589,56,jimmy choo,sexy im the chick with the hot ish manolo blahnik jimmy choo kicks killin it who you with me and my girls,186,196,,regex
101,4387589,3,gucci,my pastel luis designer scarf work of art rockin vintage gucci you can find me in da club sippin on some,491,496,,regex
102,1604099,36,guess,that wed grow up and grow together the same time guess i passed you by at that old stop sign at,415,420,,regex
103,1604099,36,guess,that wed grow up and grow together the same time guess i passed you by at that old stop sign at,896,901,,regex
104,299152,36,guess,a little different from what your eyes show you i guess i didnt see myself before you movin forward refrain beyonc,376,381,,regex
105,32869,21,nike,baby i need a thug thatll have my back dorag nike airs to match aint nothin wrong with that where my,517,521,,regex
106,1057542,36,guess,a shopaholic but was ultimately excluded from the soundtrack i guess they know im bad bad i got a problem i,156,161,,regex
107,1057542,36,guess,a shopaholic but was ultimately excluded from the soundtrack i guess they know im bad bad i got a problem i,403,408,,regex
108,61539,36,guess,hole hes got a hold on my soul so i guess im a fool im a fool in love but im,304,309,,regex
109,61539,36,guess,hole hes got a hold on my soul so i guess im a fool im a fool in love but im,403,408,,regex
110,98058,36,guess,a television setting fire to all the buildings yeah i guess you saw me stealing but youve no idea what ive,68,73,,regex
111,98058,36,guess,a television setting fire to all the buildings yeah i guess you saw me stealing but youve no idea what ive,503,508,,regex
112,934,59,maybach,just wont let up allblack on blackedout shades shades blackedout maybach ima rock this shit like fashion as in going til,531,538,,regex
113,3623733,59,maybach,reign just wont let up allblack on blackedout shades blackedout maybach that i i i im so hard yeah yeah yeah,491,498,,regex
114,218632,36,guess,must admit its good to hear your voice and i guess that i forgot just how you make me feel when,181,186,,regex
115,98094,36,guess,me when you know you dont love me but i guess i guess i guess its all good you can play,112,117,,regex
116,98094,36,guess,me when you know you dont love me but i guess i guess i guess its all good you can play,120,125,,regex
117,98094,36,guess,me when you know you dont love me but i guess i guess i guess its all good you can play,128,133,,regex
118,87065,3,gucci,will love you the same but why complain you buying gucci babe you might see me in the spot ya boy,145,150,,regex
119,98152,43,givenchy,with it ya see me ya like it huh heels givenchy huh love it then play it back plus where the,176,184,,regex
120,2936086,43,givenchy,my cocky fresh im so reckless when i rock my givenchy dress im so possessive so i rock his roc necklaces,116,124,,regex
121,3074,36,guess,i dont wanna smoke on these cigarettes no more i guess thats what i get for wishful thinkin i shouldve never,576,581,,regex
122,4933348,59,maybach,i run us a kilo im laid back in a maybach blowing zeroes up to the ozone gripping my solo im,604,611,,regex
123,6218,36,guess,is not the one i thought i saw your potential guess thats what made me dumb he dont want it not,772,777,,regex
124,3623736,36,guess,is not the one i thought i saw your potential guess thats what made me dumb he dont want it not,783,788,,regex
125,97998,36,guess,now i just cant figure it out what now i guess ill just wait it out what now ohohohoh what now,344,349,,regex
126,2466692,36,guess,in some wide open space ive never been there i guess some people come around and purpose she but i dont,118,123,,regex
127,12274780,3,gucci,i like my friends cancelled i like em cloaked in gucci and in scandal like my whiskey sour and poison thorny,384,389,,regex
128,103835,36,guess,this come back be here come back be here i guess youre in new york today i dont wanna need you,410,415,,regex
129,2825445,3,gucci,burn one burn one ayee boy ayee gucci mane how hood is this yea how hood is this,32,37,,regex
130,2825445,3,gucci,burn one burn one ayee boy ayee gucci mane how hood is this yea how hood is this,81,86,,regex
131,2825445,3,gucci,burn one burn one ayee boy ayee gucci mane how hood is this yea how hood is this,107,112,,regex
132,2825445,3,gucci,burn one burn one ayee boy ayee gucci mane how hood is this yea how hood is this,133,138,,regex
133,6917679,6,birkin,she wit you she conceited she think she work for birkin thats just not the way i see it they trade,292,298,,regex
134,6917679,3,gucci,just how i see it say im hidin behind these gucci shades but thats not how i see it im hidin,1239,1244,,regex
135,5963968,4,prada,want a partner partner pop a dose and calamari pasta prada louis you should see my closet crocodile alligator chinchilla and,157,162,,regex
136,5963968,3,gucci,money got a lot of it wish that wish that gucci let me make a profit go out when i knew,408,413,,regex
137,5963968,3,gucci,money got a lot of it wish that wish that gucci let me make a profit go out when i knew,503,508,,regex
138,4644442,3,gucci,but i been feelin myself for three months they say gucci canceled ill be rockin chanel know you heard bout my,194,199,,regex
139,4644442,1,chanel,for three months they say gucci canceled ill be rockin chanel know you heard bout my rep i got murders on,223,229,,regex
140,4644442,29,moncler,rep i got murders on my belt black and green moncler ring call that bitch the boston celts sent a fiend,298,305,,regex
141,4644442,3,gucci,but i been feelin myself for three months they say gucci canceled ill be rockin chanel know you heard bout my,1232,1237,,regex
142,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,79,84,,regex
143,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,85,90,,regex
144,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,91,96,,regex
145,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,97,102,,regex
146,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,103,108,,regex
147,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,109,114,,regex
148,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,115,120,,regex
149,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,121,126,,regex
150,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,623,628,,regex
151,410248,3,gucci,on the album lotta mixtapes ya know lotta thangs burr gucci gucci gucci gucci gucci gucci gucci gucci got a warrant,699,704,,regex
152,21956,3,gucci,gucci mane laflare entertainment big cat records ima show you how,0,5,,regex
153,21956,3,gucci,gucci mane laflare entertainment big cat records ima show you how,238,243,,regex
154,21956,3,gucci,gucci mane laflare entertainment big cat records ima show you how,1114,1119,,regex
155,10765574,3,gucci,intro dj drama gucci mane the greatest of all trappers huh niggas say im,15,20,,regex
156,10765574,36,guess,i want my cake and i eat it too i guess im a hypocrite my cars scared to get deported they,289,294,,regex
157,10765574,3,gucci,intro dj drama gucci mane the greatest of all trappers huh niggas say im,495,500,,regex
158,10765574,36,guess,i want my cake and i eat it too i guess im a hypocrite my cars scared to get deported they,1142,1147,,regex
159,426473,4,prada,the kitchen rubberbandin money where my palms still itchin everything prada from my sweater to these britches now i dont fuck,660,665,,regex
160,426473,36,guess,my dad used to do the same shit so i guess that its just in me i aint gonna even lie,913,918,,regex
161,2931463,10,versace,boyfriend embarrassed she felt the fabric she married im in versace niggas pocket watchin they starin and imma step up on,283,290,,regex
162,2931463,3,gucci,pint on her panties call that strawberry molasses she said gucci you nasty why you askin and who last last longer,721,726,,regex
163,2933322,37,michael kors,so pearly white its the burr rockin fur tonight im michael kors to the floor call me sir tonight think what you,905,917,,regex
164,2284431,7,ysl,bitches say ma son gonna be gay cause he spoilt ysl with the snakes in yo yard he called up bruno,821,824,,regex
165,2413246,43,givenchy,im the type that skeeted in yo bitch face cavalli givenchy i put the fendi on my waist the russian ak,1018,1026,,regex
166,2413246,13,fendi,skeeted in yo bitch face cavalli givenchy i put the fendi on my waist the russian ak no face no case,1037,1042,,regex
167,2413246,3,gucci,yellow tape shit back to the spot doing numbers everything gucci young nigga trappin in yellow puccis,1145,1150,,regex
168,556684,3,gucci,dont have no feelings get that from my pops convertible gucci convertible phantom got money on money might drop the top,99,104,,regex
169,556684,3,gucci,dont have no feelings get that from my pops convertible gucci convertible phantom got money on money might drop the top,211,216,,regex
170,51251,3,gucci,intro rocko gucci mane i love things about her i love the way,12,17,,regex
171,51251,3,gucci,intro rocko gucci mane i love things about her i love the way,212,217,,regex
172,51251,3,gucci,intro rocko gucci mane i love things about her i love the way,249,254,,regex
173,51251,3,gucci,intro rocko gucci mane i love things about her i love the way,811,816,,regex
174,99822,3,gucci,fuck with me you know she stuck with me its gucci mane she gotta be a dime piece look at my,82,87,,regex
175,2280577,3,gucci,huh huh smoke some of that gucci gas huh gucci my diamond wrist and diamond neck kick,27,32,,regex
176,2280577,3,gucci,huh huh smoke some of that gucci gas huh gucci my diamond wrist and diamond neck kick,41,46,,regex
177,2280577,3,gucci,huh huh smoke some of that gucci gas huh gucci my diamond wrist and diamond neck kick,693,698,,regex
178,3200747,3,gucci,intro gucci mane quavo ha its gucci its drop top wizop whoo,6,11,,regex
179,3200747,3,gucci,intro gucci mane quavo ha its gucci its drop top wizop whoo,30,35,,regex
180,3200747,11,patek,in my sleep on fleek hundred k spent on a patek phillippe bitch im a dog eat my treat hop out,727,732,,regex
181,6836699,5,dior,papi she say my hair is so nappy this that dior not armani,779,783,,regex
182,6836699,17,armani,say my hair is so nappy this that dior not armani,788,794,,regex
183,2397073,3,gucci,real trap niggas want more for christmas thats some new gucci mane nigga you heard i got long paper i got,143,148,,regex
184,155213,3,gucci,outside it runnin and im out im smashin me and gucci we wildin we laughin cinemax its a movie hit the,775,780,,regex
185,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,33,38,,regex
186,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,146,151,,regex
187,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,271,276,,regex
188,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,1703,1708,,regex
189,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,1736,1741,,regex
190,4338579,3,gucci,i heard burn one i heard x4 that gucci stacks the cheese up you can just reup gotta whole,1760,1765,,regex
191,9611543,59,maybach,you cant fit in my circle im ridin in a maybach commission by virgil threw bait at the bitch and she,348,355,,regex
192,9611543,3,gucci,the beach and i aint talking murder if you interview gucci dont ask him bout murders vest gon protect he got,542,547,,regex
193,21898,3,gucci,a ho ride a kite on a bitch lear jet gucci when i ride on 6s gotta sit high like my,157,162,,regex
194,21898,3,gucci,a ho ride a kite on a bitch lear jet gucci when i ride on 6s gotta sit high like my,458,463,,regex
195,7139290,3,gucci,yeah its gucci so icey entertainment man bet bangerz what it do shawty,9,14,,regex
196,7139290,3,gucci,yeah its gucci so icey entertainment man bet bangerz what it do shawty,119,124,,regex
197,7139290,3,gucci,yeah its gucci so icey entertainment man bet bangerz what it do shawty,483,488,,regex
198,7139290,3,gucci,yeah its gucci so icey entertainment man bet bangerz what it do shawty,845,850,,regex
199,6150701,3,gucci,yeah huh huh huh so icy entertainment ceo speaking gucci chorus shawnna gucci mane is you rollin is you rollin,51,56,,regex
200,6150701,3,gucci,yeah huh huh huh so icy entertainment ceo speaking gucci chorus shawnna gucci mane is you rollin is you rollin,72,77,,regex
201,6150701,3,gucci,yeah huh huh huh so icy entertainment ceo speaking gucci chorus shawnna gucci mane is you rollin is you rollin,754,759,,regex
202,6150701,3,gucci,yeah huh huh huh so icy entertainment ceo speaking gucci chorus shawnna gucci mane is you rollin is you rollin,938,943,,regex
203,21899,3,gucci,cookin chicken tryin to pay my rent shawty rap about gucci stay strapped with a uzi murder one platinum eatin justins,260,265,,regex
204,21899,3,gucci,cookin chicken tryin to pay my rent shawty rap about gucci stay strapped with a uzi murder one platinum eatin justins,340,345,,regex
205,21899,3,gucci,cookin chicken tryin to pay my rent shawty rap about gucci stay strapped with a uzi murder one platinum eatin justins,589,594,,regex
206,12222593,3,gucci,pays the price keyshia queen my corner store beyond the gucci glass in the solace of our palace its only you,165,170,,regex
207,1825112,3,gucci,spend mills quick but fuck it nigga i quit its gucci mane and nigga fuck it i quit i told her,275,280,,regex
208,1825112,3,gucci,spend mills quick but fuck it nigga i quit its gucci mane and nigga fuck it i quit i told her,938,943,,regex
209,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,18,23,,regex
210,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,24,29,,regex
211,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,30,35,,regex
212,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,36,41,,regex
213,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,70,75,,regex
214,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,81,86,,regex
215,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,102,107,,regex
216,97818,3,gucci,yeah yeah huh huh gucci gucci gucci gucci huh huh huh what what watch gucci,108,113,,regex
217,1473,3,gucci,yeah hey gucci always talkin bout he love somebody he dont love nobody,9,14,,regex
218,1473,3,gucci,yeah hey gucci always talkin bout he love somebody he dont love nobody,571,576,,regex
219,1473,3,gucci,yeah hey gucci always talkin bout he love somebody he dont love nobody,1013,1018,,regex
220,51564,3,gucci,i gots to have her now i got her yeah gucci got her im bout to smash her i want her,171,176,,regex
221,51564,3,gucci,i gots to have her now i got her yeah gucci got her im bout to smash her i want her,376,381,,regex
222,51564,3,gucci,i gots to have her now i got her yeah gucci got her im bout to smash her i want her,553,558,,regex
223,51564,3,gucci,i gots to have her now i got her yeah gucci got her im bout to smash her i want her,1216,1221,,regex
224,10765578,36,guess,already told myself said i wasnt poppin no beans i guess i couldnt control myself i aint fuckin them bad bitches,1208,1213,,regex
225,2898150,3,gucci,woptober wop finally huh this the finale yeah huh its gucci go these slides are buscemi my drawers and wifebeaters givenchy,54,59,,regex
226,2898150,43,givenchy,gucci go these slides are buscemi my drawers and wifebeaters givenchy a nigga so handsome these white women say that they,115,123,,regex
227,743045,3,gucci,came in two hundreds she asked for our help so gucci superfly guy call me young delta and the pussy stupid,447,452,,regex
228,9842988,36,guess,n dare ah n dare ah n double dare i guess its just the g in me do you plan your,471,476,,regex
229,9842988,36,guess,n dare ah n dare ah n double dare i guess its just the g in me do you plan your,827,832,,regex
230,96844,3,gucci,intro dj drama gucci mane gangsta grillz see my shit my shit like hollywood,15,20,,regex
231,96844,3,gucci,intro dj drama gucci mane gangsta grillz see my shit my shit like hollywood,186,191,,regex
232,96844,3,gucci,intro dj drama gucci mane gangsta grillz see my shit my shit like hollywood,435,440,,regex
233,96844,3,gucci,intro dj drama gucci mane gangsta grillz see my shit my shit like hollywood,673,678,,regex
234,96844,3,gucci,intro dj drama gucci mane gangsta grillz see my shit my shit like hollywood,755,760,,regex
235,21901,3,gucci,this a nitty beat geah uh uh uh gucci mane man look like a million dollar i count a,32,37,,regex
236,21901,3,gucci,this a nitty beat geah uh uh uh gucci mane man look like a million dollar i count a,182,187,,regex
237,21901,3,gucci,this a nitty beat geah uh uh uh gucci mane man look like a million dollar i count a,459,464,,regex
238,65222,3,gucci,im calling my attorney and them people cant believe that gucci man got jungle fever and i think i love this,568,573,,regex
239,4072057,3,gucci,intro gucci mane kodak black drop top huh burr evil knievel i,6,11,,regex
240,2431011,3,gucci,diddy nigga take that nowadays we burning loud me and gucci in the maybach nah i dont think i just state,277,282,,regex
241,2431011,59,maybach,that nowadays we burning loud me and gucci in the maybach nah i dont think i just state facts 100 million,290,297,,regex
242,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,239,244,,regex
243,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,304,309,,regex
244,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,399,404,,regex
245,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,465,470,,regex
246,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,478,483,,regex
247,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,590,595,,regex
248,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,802,807,,regex
249,1555,3,gucci,really dig me her lil baby brother wanna be like gucci got a plasma screen chain like a 60 movie shorty,887,892,,regex
250,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,11,16,,regex
251,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,17,22,,regex
252,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,23,28,,regex
253,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,86,91,,regex
254,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,92,97,,regex
255,7142642,3,gucci,baby im so gucci gucci gucci all the trappers they love me love me,98,103,,regex
